q1,q2,q3,q4,q5,q6,x,y,z
-0.29022,-0.49312,0.98454,0.0051093,0.29652,0,0.213,-0.0635,0.396
0.17497,0.147,-0.20573,0.00011676,-0.056891,0,0.4022,0.0711,0.653
0.31315,0.10969,-0.27232,-0.0002526,-0.070693,0,0.3675,0.119,0.693
0.34332,-0.54538,0.89572,-0.0069441,0.27125,0,0.213,0.076,0.441
-0.0017476,-0.39869,0.42041,7.9628e-05,0.12109,0,0.2699,-0.000471,0.592
-0.53943,-0.28012,0.44855,0.00082214,0.12552,0,0.2606,-0.156,0.547
0.23572,0.35375,-0.29622,0.00066768,-0.088052,0,0.458,0.11,0.598
0.23738,-0.40807,0.61823,-0.0049938,0.17854,0,0.2619,0.0633,0.516
-0.12654,0.21198,0.47579,-0.00042932,0.10586,0,0.382,-0.0486,0.365
-0.62834,-0.20743,0.36891,4.7479e-05,0.1019,0,0.2615,-0.19,0.556
-0.24578,0.0019671,0.48888,-0.00024453,0.1214,0,0.34801,-0.0873,0.438
0.13311,-0.78565,0.75658,-0.0084731,0.21938,0,0.178,0.0237,0.546
0.18034,-0.13263,-0.10771,-0.00048616,-0.019495,0,0.3055,0.0557,0.716
-0.48878,0.38573,0.31339,-0.0025471,0.05677,0,0.3798,-0.202,0.35
0.45741,-0.0063638,0.64313,0.001568,0.16435,0,0.2986,0.147,0.385
-0.51843,-0.43598,0.64197,0.0045673,0.1858,0,0.228,-0.13,0.514
0.25458,-0.42017,1.0037,-0.0041008,0.29764,0,0.219,0.0569,0.373
0.32019,-0.0023049,0.24469,0.0004129,0.060385,0,0.35886,0.119,0.534
-0.35132,0.32182,0.21187,-0.0013543,0.035017,0,0.4147,-0.152,0.414
-0.07742,0.8837,-0.91099,-0.0044645,-0.26182,0,0.576,-0.0446,0.56
0.092289,0.38585,0.24175,0.00044765,0.038243,0,0.4419,0.0409,0.375
-0.12471,0.0049655,0.094203,-8.2922e-05,0.022701,0,0.3773,-0.0473,0.591
0.26139,0.097904,0.033159,0.00020008,0.0032131,0,0.3925,0.105,0.579
-0.13303,0.76061,-0.55523,-0.0034735,-0.17026,0,0.563,-0.0753,0.49
-0.014503,0.23561,-0.33001,-0.00076298,-0.091434,0,0.4278,-0.0062,0.664
0.33741,-0.11307,0.18898,3.8011e-05,0.051853,0,0.3278,0.115,0.596
0.072463,0.49012,0.15106,0.00057588,0.010577,0,0.467,0.0339,0.36
0.12363,-0.58043,0.48356,-0.0038069,0.14776,0,0.216,0.0268,0.611
0.3667,-0.54473,0.95806,-0.006051,0.29291,0,0.205,0.0786,0.417
0.3049,0.485,-0.35613,0.001059,-0.10844,0,0.483,0.152,0.558
0.28813,0.26991,0.32163,0.0013197,0.064563,0,0.4015,0.119,0.396
0.33734,0.28185,-0.33539,-3.3884e-05,-0.094073,0,0.4191,0.147,0.646
0.37853,-0.30514,0.89191,-0.0027242,0.25316,0,0.239,0.095,0.385
-0.30267,0.18011,-0.17402,-0.00011664,-0.05063,0,0.4035,-0.126,0.627
-0.11673,0.59925,-0.19397,-0.0016731,-0.07697,0,0.522,-0.0612,0.435
0.0078962,0.30381,-0.056514,0.00010917,-0.029179,0,0.461,0.00364,0.526
0.25577,-0.58669,1.0426,-0.0047924,0.32578,0,0.197,0.0514,0.394
-0.39096,-0.61871,1.0637,0.0043922,0.34486,0,0.182,-0.0749,0.392
0.46644,0.43916,0.031748,0.0016149,-0.014285,0,0.429,0.216,0.428
-0.46474,0.049052,-0.034478,-2.6942e-05,-0.010871,0,0.34705,-0.174,0.625
-0.31324,-0.14007,-0.025575,0.00044496,0.00092179,0,0.3041,-0.0985,0.688
0.088783,0.3017,-0.51804,0.0021346,-0.13825,0,0.426,0.0379,0.706
0.53414,0.0051859,0.33409,0.00085154,0.082875,0,0.3229,0.191,0.496
0.11857,0.18642,0.32779,0.00041843,0.070386,0,0.4046,0.0482,0.428
0.39532,1.0667,-1.343,2.412e-08,-0.22777,-4.0381,0.532,0.222,0.608
0.33921,0.061753,0.13227,0.00038807,0.029292,0,0.3741,0.132,0.554
0.22781,0.2678,-0.3584,7.7136e-05,-0.099255,0,0.4253,0.0986,0.661
0.17472,0.41923,-0.044467,0.00076813,-0.031776,0,0.477,0.0842,0.467
-0.23856,-0.73803,0.93422,0.010548,0.30403,0,0.186,-0.045,0.465
-0.034264,-0.18957,0.8622,0.00066299,0.23533,0,0.2731,-0.00935,0.365
-0.0872,0.59561,0.12476,-0.0009778,-0.0017756,0,0.477,-0.0417,0.3195
-0.053291,-0.30146,0.91215,0.0011917,0.2585,0,0.2535,-0.0135,0.377
0.41258,0.010397,0.025786,6.5533e-05,0.005702,0,0.34727,0.152,0.616
0.051291,0.59804,-0.68738,0.0027378,-0.19495,0,0.515,0.0264,0.63
-0.025397,0.51852,-0.048362,-0.00045805,-0.038859,0,0.5,-0.0127,0.42
-0.085453,0.058392,-0.18611,-6.3005e-05,-0.047692,0,0.3759,-0.0322,0.68
-0.38808,0.18955,0.51534,-0.0021478,0.11834,0,0.3473,-0.142,0.36
0.017462,0.042508,0.6726,-0.00019731,0.16696,0,0.3311,0.00578,0.359
-0.37718,0.040528,0.13801,-0.00035446,0.031786,0,0.3635,-0.144,0.56
-0.38888,0.085152,0.47753,-0.0014612,0.11467,0,0.34408,-0.141,0.412
-0.068234,-0.38825,0.18592,0.0011599,0.065289,0,0.2503,-0.0171,0.679
-0.2347,-0.67798,0.50547,0.0047385,0.15984,0,0.183,-0.0437,0.622
-0.35375,-0.35935,0.17166,0.0010911,0.060632,0,0.244,-0.0901,0.677
