x,y,z
0.37729999999999997,-0.0473,0.591
0.39249999999999996,0.105,0.579
0.563,-0.0753,0.49
0.42779999999999996,-0.0062,0.6639999999999999
0.3278,0.115,0.596
0.46699999999999997,0.0339,0.36
0.21599999999999997,0.0268,0.611
0.205,0.0786,0.41700000000000004
0.483,0.152,0.558
0.40149999999999997,0.119,0.396
0.4191,0.147,0.646
0.239,0.095,0.385
0.40349999999999997,-0.126,0.627
0.522,-0.0612,0.435
0.46099999999999997,0.00364,0.526
0.19699999999999998,0.0514,0.394
0.18199999999999997,-0.0749,0.392
0.429,0.216,0.428
0.34704999999999997,-0.174,0.625
0.3041,-0.0985,0.688
0.426,0.0379,0.706
0.32289999999999996,0.191,0.496
0.40459999999999996,0.0482,0.428
0.532,0.222,0.608
0.3741,0.132,0.554
0.4253,0.0986,0.661
0.477,0.0842,0.46699999999999997
0.18599999999999997,-0.045,0.46499999999999997
0.2731,-0.00935,0.365
0.477,-0.0417,0.3195
0.25349999999999995,-0.0135,0.377
0.34726999999999997,0.152,0.616
0.515,0.0264,0.63
0.5,-0.0127,0.42000000000000004
0.37589999999999996,-0.0322,0.6799999999999999
0.3473,-0.142,0.36
0.33109999999999995,0.00578,0.359
0.3635,-0.144,0.56
0.34408,-0.141,0.41200000000000003
0.25029999999999997,-0.0171,0.679
0.18299999999999997,-0.0437,0.622
0.244,-0.0901,0.677
0.12099999999999997,-0.0262,0.379
0.4251,-0.122,0.478
0.28609999999999997,0.0319,0.369
0.235,-0.0957,0.391
0.19899999999999998,0.041,0.41500000000000004
0.499,0.0397,0.5800000000000001
0.28309999999999996,0.0727,0.3444
0.2713,0.134,0.5700000000000001
0.35790999999999995,0.05,0.627
0.25839999999999996,-0.0522,0.667
0.15699999999999997,-0.115,0.395
0.35973,-0.00537,0.724
0.30379999999999996,0.135,0.451
0.30679999999999996,0.184,0.623
0.477,0.0624,0.364
0.4314,0.0941,0.385
0.2854,-0.0554,0.45899999999999996
0.26159999999999994,-0.133,0.6679999999999999
0.4205,-0.241,0.491
0.3323,0.0926,0.38
0.2749,-0.0306,0.3382
0.31389999999999996,-0.104,0.724
0.45999999999999996,-0.0867,0.556
0.38539999999999996,-0.0402,0.404
0.146,0.0443,0.6619999999999999
0.3125,0.173,0.548
0.35446999999999995,0.0475,0.352
0.25039999999999996,0.0853,0.45
0.207,-0.0936,0.614
0.37679999999999997,0.111,0.714
0.476,-0.0627,0.606
0.499,-0.0107,0.422
0.241,-0.153,0.642
0.3871,-0.109,0.5569999999999999
0.518,0.0145,0.46099999999999997
0.32249999999999995,-0.224,0.429
0.26739999999999997,0.0355,0.366
0.35888,0.12,0.392
0.35729,0.205,0.653
0.31539999999999996,0.0378,0.36
0.47,0.145,0.47
0.357,0.144,0.45499999999999996
0.41709999999999997,-0.00444,0.362
0.498,0.114,0.5449999999999999
0.3004,0.151,0.636
0.36819999999999997,-0.217,0.45999999999999996
0.32749999999999996,0.155,0.484
0.4065,0.126,0.405
0.32689999999999997,-0.0287,0.398
0.26189999999999997,-0.121,0.518
0.46799999999999997,-0.106,0.5349999999999999
0.236,-0.101,0.484
0.2996,-0.199,0.476
0.247,0.0828,0.3287
0.22799999999999998,0.0941,0.398
0.43679999999999997,-0.138,0.495
0.4009,-0.149,0.487
0.22199999999999998,-0.176,0.46399999999999997
0.34396,0.178,0.594
0.46399999999999997,0.136,0.604
0.15999999999999998,-0.164,0.5349999999999999
0.4043,0.0384,0.6990000000000001
0.4387,0.0388,0.544
0.3312,0.123,0.443
0.607,0.0223,0.45
0.2563,0.0485,0.351
0.4341,-0.196,0.5660000000000001
0.4064,0.0115,0.681
0.4255,-0.107,0.5680000000000001
0.2606,0.0621,0.5369999999999999
0.3286,0.162,0.548
0.43729999999999997,0.182,0.45899999999999996
0.4044,-0.119,0.2989
0.350124,-0.0948,0.435
0.38489999999999996,0.152,0.386
0.30319999999999997,-0.153,0.493
0.4335,-0.0331,0.536
0.4477,-0.12,0.393
0.248,0.153,0.525
0.5229999999999999,-0.00139,0.591
0.41969999999999996,-0.0184,0.368
0.46599999999999997,-0.0318,0.392
0.3223,-0.11,0.46299999999999997
0.4193,-0.124,0.448
0.206,-0.00966,0.471
0.23199999999999998,-0.163,0.469
0.32539999999999997,0.0817,0.378
0.21799999999999997,-0.0518,0.497
0.4133,0.102,0.266
0.4417,-0.0625,0.3476
0.37939999999999996,0.00819,0.351
0.37889999999999996,-0.026,0.558
0.20299999999999999,0.19,0.5700000000000001
0.3146,-0.019,0.502
0.40259999999999996,0.143,0.428
0.2778,0.0994,0.41100000000000003
0.472,-0.0449,0.351
0.511,0.0685,0.485
0.38439999999999996,-0.0331,0.5900000000000001
0.35084,-0.0924,0.629
0.15499999999999997,-0.102,0.45399999999999996
0.46299999999999997,-0.0899,0.501
0.45399999999999996,-0.0402,0.362
0.514,-0.149,0.431
0.3201,-0.0813,0.726
0.37179999999999996,-0.137,0.56
0.3236,-0.149,0.554
0.46799999999999997,0.0222,0.479
0.5539999999999999,-0.101,0.5760000000000001
0.491,-0.247,0.5780000000000001
0.2546,0.00248,0.295
0.35420999999999997,0.147,0.6779999999999999
0.35963999999999996,-0.069,0.725
0.3056,-0.231,0.524
0.478,0.099,0.487
0.33709999999999996,0.174,0.446
0.4042,-0.262,0.536
0.31579999999999997,-0.0169,0.491
0.4456,0.105,0.644
0.3893,7.05e-05,0.3497
0.37079999999999996,-0.0832,0.669
0.21399999999999997,0.042,0.599
0.45799999999999996,0.141,0.497
0.34509999999999996,-0.13,0.5
0.2651,0.0997,0.474
0.46799999999999997,-0.0732,0.438
0.4461,-0.114,0.446
0.33149999999999996,0.0422,0.7150000000000001
0.3191,0.0972,0.429
0.24999999999999997,-0.116,0.451
0.32099999999999995,0.0511,0.3363
0.178,0.106,0.5409999999999999
0.15999999999999998,-0.0178,0.427
0.4396,-0.136,0.593
0.22799999999999998,-0.205,0.485
0.34559999999999996,-0.0548,0.367
0.46199999999999997,-0.0776,0.485
0.3873,0.146,0.536
0.49,-0.115,0.723
0.27799999999999997,0.0416,0.7070000000000001
0.3636,-0.00107,0.726
0.252,0.0348,0.516
0.20099999999999998,-0.0817,0.427
0.474,-0.00352,0.552
0.35496,0.0135,0.3479
0.2849,-0.0189,0.719
0.501,-0.0254,0.595
0.30429999999999996,0.0164,0.727
0.4468,0.0398,0.69
0.34595,0.191,0.5369999999999999
0.302,0.0158,0.496
0.35197,-0.0918,0.394
0.41369999999999996,0.124,0.6659999999999999
0.39859999999999995,0.144,0.476
0.13099999999999998,-0.0656,0.375
0.3838,0.139,0.5609999999999999
0.22499999999999998,-0.0673,0.667
0.26249999999999996,0.0932,0.41400000000000003
0.15499999999999997,0.0104,0.36
0.33949999999999997,-0.0265,0.357
0.35816,-0.183,0.358
0.27249999999999996,0.00206,0.3346
0.2845,0.116,0.657
0.33859999999999996,0.14,0.648
0.4184,-0.0303,0.7110000000000001
0.42769999999999997,-0.0961,0.673
0.4321,-0.212,0.618
0.3615,-0.151,0.447
0.47,-0.0822,0.446
0.33049999999999996,0.149,0.5800000000000001
0.45499999999999996,0.08,0.369
0.11799999999999997,0.108,0.379
0.3775,-0.209,0.482
0.236,0.0903,0.2977
0.2956,-0.0346,0.629
0.45999999999999996,0.179,0.517
0.37289999999999995,-0.0777,0.33740000000000003
0.368,0.225,0.514
0.3841,0.153,0.63
0.472,0.125,0.624
0.3659,0.127,0.5740000000000001
0.478,0.0448,0.486
0.3807,0.116,0.611
0.16499999999999998,0.0664,0.577
0.40869999999999995,-0.0201,0.422
0.43579999999999997,-0.212,0.585
0.26359999999999995,-0.0161,0.552
0.34397999999999995,-0.0814,0.514
0.35730999999999996,-0.182,0.349
0.27859999999999996,0.137,0.445
0.365,-0.1,0.669
0.15899999999999997,0.0134,0.522
0.2738,0.109,0.487
0.207,0.0792,0.606
0.238,0.0506,0.661
0.209,0.0666,0.5589999999999999
0.478,-0.0417,0.434
0.2691,0.0306,0.44
0.16299999999999998,-0.124,0.392
0.32989999999999997,-0.176,0.591
0.294,0.156,0.558
0.3973,-0.194,0.497
0.34426999999999996,-0.0936,0.40900000000000003
0.21199999999999997,-0.119,0.571
0.3216,0.106,0.389
0.299,-0.0247,0.544
0.2717,-0.0306,0.5700000000000001
0.20999999999999996,-0.133,0.423
0.46699999999999997,-0.0863,0.661
0.4387,0.0689,0.579
0.3594,0.0327,0.361
0.45799999999999996,0.0867,0.647
0.484,-0.0459,0.544
0.2688,0.0506,0.46599999999999997
0.27459999999999996,-0.0994,0.373
0.47,0.0674,0.575
0.22799999999999998,0.171,0.472
0.21899999999999997,-0.0638,0.659
0.206,-0.00122,0.5860000000000001
0.42,-0.151,0.54
0.4243,0.0891,0.502
0.22699999999999998,-0.143,0.534
0.3071,0.178,0.5700000000000001
0.29669999999999996,-0.161,0.507
0.477,-0.0965,0.426
0.19299999999999998,0.0761,0.618
0.22399999999999998,-0.0862,0.437
0.3911,0.119,0.594
0.532,-0.031,0.485
0.32039999999999996,0.163,0.496
0.41069999999999995,0.187,0.496
0.497,0.0155,0.424
0.22599999999999998,-0.136,0.569
0.29179999999999995,0.0297,0.7130000000000001
0.36679999999999996,-0.0805,0.373
0.3609,-0.051,0.7170000000000001
0.4492,-0.0516,0.399
0.424,-0.0782,0.6759999999999999
0.29969999999999997,0.104,0.5840000000000001
0.349528,-0.155,0.431
0.3806,0.118,0.383
0.28049999999999997,0.115,0.403
0.469,-0.247,0.55
0.45199999999999996,0.00348,0.61
0.3841,0.105,0.366
0.36779999999999996,-0.0963,0.399
0.45299999999999996,-0.055,0.404
0.37389999999999995,-0.00563,0.7130000000000001
0.247,0.0764,0.55
0.33849999999999997,-0.0464,0.514
0.28459999999999996,-0.173,0.487
0.41059999999999997,0.169,0.393
0.3942,-0.143,0.504
0.3283,0.115,0.492
0.239,0.0554,0.445
0.495,0.0204,0.3134
0.21299999999999997,0.156,0.476
0.19399999999999998,0.0878,0.495
0.3115,-0.12,0.44
0.261,-0.0162,0.3492
0.3326,0.167,0.422
0.33149999999999996,0.1,0.529
0.4463,0.0515,0.7090000000000001
0.3142,0.222,0.503
0.13499999999999998,0.145,0.508
0.22499999999999998,0.0278,0.496
0.22999999999999998,0.0529,0.645
0.4043,0.0701,0.567
0.244,0.0846,0.538
0.2822,0.0335,0.382
0.42589999999999995,0.0485,0.41400000000000003
0.32599999999999996,0.117,0.5900000000000001
0.27549999999999997,-0.108,0.3079
