q1,q2,q3,q4,q5,q6,x,y,z
-1.8914,1.3246,-0.18369,-0.36065,-1.0813,0,-0.14242,-0.5001,0.10444
-1.3151,-0.91699,1.2217,0.33163,1.9526,0,0.033751,-0.043087,0.37816
-2.3367,1.9199,-0.85473,-2.7925,1.7137,0,-0.37448,-0.35418,0.0087677
-1.4245,-0.99784,0.774,-0.14733,0.2345,0,0.015641,-0.12304,0.57107
2.225,-0.0040898,0.59776,-0.017003,-1.3413,0,-0.20856,0.27,0.49802
2.142,0.98769,-0.26294,-0.089205,-0.94221,0,-0.31146,0.47507,0.30622
0.094484,-1.9199,0.38561,0.0067739,0.35224,0,-0.28409,-0.026753,0.56864
0.95808,-0.89485,1.2217,0.0047061,0.13673,0,0.093272,0.13276,0.39605
-2.4548,1.1323,-0.089054,-2.7925,1.4208,0,-0.41768,-0.31102,0.20332
-1.8606,1.1883,0.18223,-0.35575,-1.1914,0,-0.1051,-0.43398,0.095088
-1.6417,1.9199,0.4101,-2.7925,1.4679,0,-0.034374,-0.13827,-0.12129
0.0062873,-1.9199,-1.9199,0.19657,-1.4093,6.045,-0.40404,-0.01642,-0.11092
-0.40286,1.2824,-0.10195,-0.010713,-0.094387,0,0.43429,-0.185,0.050459
0.06119,-1.1316,-1.9199,-0.55969,2.0708,0,-0.50925,-0.064811,0.41248
0.77055,-0.63922,0.81518,-0.0083859,0.2426,0,0.15387,0.14916,0.49348
-2.0378,1.1582,-1.2695,-0.085988,-0.35088,0,-0.27007,-0.54043,0.5334
-1.2259,1.05,-0.18192,-0.0074089,0.033566,0,0.1783,-0.49642,0.18268
0.23583,1.8715,-0.66268,0.015175,-0.26275,0,0.4594,0.1101,-0.10601
0.77571,0.078393,0.40781,0.0016351,0.098653,0,0.27192,0.26672,0.44019
0.045508,0.93538,-0.37194,0.0018736,-0.13953,0,0.57504,0.026168,0.31851
0.50311,-1.6137,-1.1285,-0.10799,0.42684,0,-0.54519,-0.30371,0.38412
-2.2387,0.80522,-0.46514,-0.20763,-0.91892,0,-0.33915,-0.44901,0.48058
-2.8798,0.87492,0.96035,-2.0353,1.5727,-0.74789,-0.23594,0.0034211,0.14499
-1.0258,0.39943,0.093377,-0.0030916,0.0013469,0,0.24238,-0.39984,0.42339
-0.158,-0.23208,0.41965,0.0018054,0.11621,0,0.31242,-0.049763,0.54368
-0.50859,-1.6038,-1.5915,-0.46193,1.6939,0,-0.50661,0.24598,0.25932
-0.24838,1.1252,0.25405,-0.0069675,-0.0054045,0,0.37215,-0.09438,0.052598
-1.4392,0.58131,0.1782,0.040893,-0.1122,0,0.061747,-0.46885,0.31504
-0.82251,0.34536,0.33087,-0.0028898,0.065652,0,0.28836,-0.31062,0.36099
0.61551,1.3255,-0.164,0.013893,-0.10832,0,0.39356,0.27817,0.043798
0.20318,-1.9199,-1.4263,-0.81598,1.6934,0,-0.51498,-0.15924,0.11748
2.396,0.81788,0.26604,1.0101,-0.60902,0,-0.30487,0.32898,0.19852
-1.3809,1.7831,-0.00082098,-0.09705,0.1727,0,0.044502,-0.23792,-0.14363
2.2888,0.70317,-0.16055,-0.080063,0.23188,0,-0.34166,0.39314,0.34965
-0.39928,-0.39464,0.67575,0.0043574,0.19479,0,0.24856,-0.10481,0.48973
-0.66256,-1.9199,0.20983,0.041119,1.6115,0,-0.22947,0.18279,0.49409
